task_id,split,attempts,local_success_attempts,db_match_attempts,full_action_attempts,representative_sim,representative_local_reward,representative_db_match,representative_actions,representative_termination,representative_duration_s,auth_loop,tool_argument_integrity,write_protocol
0,train,1,1,1,1,sim_32b46f41,1.0,True,5/5,user_stop,275.68201780319214,True,True,True
1,train,1,1,1,1,sim_b9613563,1.0,True,5/5,agent_stop,343.3227074146271,False,False,True
2,train,1,1,1,0,sim_recovered_2,1.0,True,10/11,agent_stop,305.9117577075958,True,True,True
3,train,2,1,1,0,sim_ef4acc02,1.0,True,10/12,agent_stop,266.57572293281555,True,False,True
4,train,1,1,1,1,sim_648ee76c,1.0,True,13/13,agent_stop,232.09552121162415,True,False,False
5,test,4,0,0,0,sim_242bc74e,0.0,False,0/5,user_stop,209.1572675704956,False,False,False
6,train,5,1,1,1,sim_adabd789,1.0,True,6/6,user_stop,207.26255822181702,True,False,True
7,train,2,1,1,1,sim_27c7509b,1.0,True,6/6,user_stop,263.27247524261475,True,False,True
9,test,1,1,1,1,sim_f169fffe,1.0,True,6/6,user_stop,218.2922694683075,True,False,True
12,test,1,1,1,0,sim_a7f41d66,1.0,True,4/5,user_stop,160.1366732120514,True,False,False
