attempt,task_id,split,auth_loop,tool_argument_integrity,write_protocol
1,0,train,True,True,True
2,1,train,False,False,True
3,2,train,True,True,True
4,3,train,True,True,True
5,3,train,True,False,True
6,4,train,True,False,False
7,5,test,False,False,False
8,5,test,True,False,False
9,5,test,False,False,False
10,6,train,False,False,False
11,6,train,False,False,False
12,6,train,True,False,True
13,7,train,False,False,False
14,6,train,True,False,False
15,6,train,True,False,True
16,7,train,True,False,True
17,5,test,False,False,False
18,9,test,True,False,True
19,12,test,True,False,False
