task_id,sim_id,trajectory,trace,agent_audio,user_audio,conversation_audio,audio_manifest,status
0,32b46f41,True,True,True,True,True,True,complete
1,b9613563,True,True,True,True,True,True,complete
2,recovered_2,True,True,False,False,False,True,complete
3,a71e66e1,True,True,True,True,True,True,complete
3,ef4acc02,True,True,True,True,True,True,complete
4,648ee76c,True,True,True,True,True,True,complete
5,242bc74e,True,True,True,True,True,True,complete
5,973fee8d,True,True,True,True,True,True,complete
5,a0207056,True,True,True,True,True,True,complete
5,bfafeb44,False,True,False,False,False,False,metadata_only
5,fd193532,True,True,True,True,True,True,complete
6,06ef2dfa,True,True,True,True,True,True,complete
6,1f8b9b01,True,True,True,True,True,True,complete
6,322f3ffc,False,True,False,False,False,False,metadata_only
6,401958a0,True,True,True,True,True,True,complete
6,567c56f5,True,True,True,True,True,True,complete
6,adabd789,True,True,True,True,True,True,complete
7,1cdc91d2,True,True,True,True,True,True,complete
7,27c7509b,True,True,True,True,True,True,complete
7,63b1c43c,False,True,False,False,False,False,metadata_only
9,f169fffe,True,True,True,True,True,True,complete
12,a7f41d66,True,True,True,True,True,True,complete
