attempt,task_id,split,trial,seed,sim_id,local_reward,strict_reward,strict_reward_available,db_match,actions_matched,actions_total,action_fraction,termination,duration_s,auth_loop,tool_argument_integrity,write_protocol,all_checks_pass,infrastructure_error,artifact_status,relative_trajectory
1,0,train,1,43,sim_32b46f41,1.0,0.0,False,True,5,5,1.0,user_stop,275.68201780319214,True,True,True,True,,complete,data\task_0\sim_32b46f41\trajectory.json
2,1,train,1,42,sim_b9613563,1.0,0.0,False,True,5,5,1.0,agent_stop,343.3227074146271,False,False,True,False,,complete,data\task_1\sim_b9613563\trajectory.json
3,2,train,1,42,sim_recovered_2,1.0,0.0,False,True,10,11,0.9090909090909091,agent_stop,305.9117577075958,True,True,True,True,,recovered_no_audio,data\task_2\sim_recovered_2\trajectory.json
4,3,train,1,42,sim_a71e66e1,0.0,0.0,False,False,6,12,0.5,user_stop,200.976576089859,True,True,True,True,,complete,data\task_3\sim_a71e66e1\trajectory.json
5,3,train,1,42,sim_ef4acc02,1.0,0.0,False,True,10,12,0.8333333333333334,agent_stop,266.57572293281555,True,False,True,False,,complete,data\task_3\sim_ef4acc02\trajectory.json
6,4,train,1,42,sim_648ee76c,1.0,0.0,False,True,13,13,1.0,agent_stop,232.09552121162415,True,False,False,False,,complete,data\task_4\sim_648ee76c\trajectory.json
7,5,test,1,42,sim_973fee8d,0.0,0.0,False,,0,0,0.0,timeout,360.2224335670471,False,False,False,False,,complete,data\task_5\sim_973fee8d\trajectory.json
8,5,test,1,42,sim_fd193532,0.0,0.0,False,,0,0,0.0,timeout,360.190407037735,True,False,False,False,,complete,data\task_5\sim_fd193532\trajectory.json
9,5,test,1,42,sim_a0207056,0.0,0.0,False,,0,0,0.0,timeout,360.6298816204071,False,False,False,False,,complete,data\task_5\sim_a0207056\trajectory.json
10,6,train,1,42,sim_1f8b9b01,0.0,0.0,False,False,0,6,0.0,user_stop,270.095543384552,False,False,False,False,,complete,data\task_6\sim_1f8b9b01\trajectory.json
11,6,train,1,42,sim_401958a0,0.0,0.0,False,,0,0,0.0,timeout,360.78858518600464,False,False,False,False,,complete,data\task_6\sim_401958a0\trajectory.json
12,6,train,1,42,sim_567c56f5,0.0,0.0,False,False,5,6,0.8333333333333334,user_stop,282.5423686504364,True,False,True,False,,complete,data\task_6\sim_567c56f5\trajectory.json
13,7,train,1,42,sim_1cdc91d2,0.0,0.0,False,,0,0,0.0,timeout,360.3916358947754,False,False,False,False,,complete,data\task_7\sim_1cdc91d2\trajectory.json
14,6,train,1,42,sim_06ef2dfa,0.0,0.0,False,,0,0,0.0,timeout,480.25591349601746,True,False,False,False,,complete,data\task_6\sim_06ef2dfa\trajectory.json
15,6,train,1,42,sim_adabd789,1.0,0.0,False,True,6,6,1.0,user_stop,207.26255822181702,True,False,True,False,,complete,data\task_6\sim_adabd789\trajectory.json
16,7,train,1,42,sim_27c7509b,1.0,0.0,False,True,6,6,1.0,user_stop,263.27247524261475,True,False,True,False,,complete,data\task_7\sim_27c7509b\trajectory.json
17,5,test,1,42,sim_242bc74e,0.0,0.0,False,False,0,5,0.0,user_stop,209.1572675704956,False,False,False,False,,complete,data\task_5\sim_242bc74e\trajectory.json
18,9,test,1,42,sim_f169fffe,1.0,0.0,False,True,6,6,1.0,user_stop,218.2922694683075,True,False,True,False,,complete,data\task_9\sim_f169fffe\trajectory.json
19,12,test,1,42,sim_a7f41d66,1.0,0.0,False,True,4,5,0.8,user_stop,160.1366732120514,True,False,False,False,,complete,data\task_12\sim_a7f41d66\trajectory.json
